nombre_carrera,fecha,categoria,url_base,paginas_leidas,n_masculino,n_femenino,n_desconocido,n_total,n_filas_unicas,n_filas_sin_codigo
LIV TRAVESÍA A NADO AO PORTO DE VILAXOÁN (VILAGARCÍA DE AROUSA),03 sept. 2017,PERCORRIDO C: 250 METROS (2005 E POSTERIORES),https://ccnorte.com/resultados/liv-travesia-a-nado-ao-porto-de-vilaxoan-vilagarcia-de-arousa/percorrido-c-250-metros-2005-e-posteriores/1,1,6,2,0,8,8,0
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2017),03 sept. 2017,BENXAMIN (2008 / 2009 / 2010) E ALEVÍN (2006 / 2007),https://ccnorte.com/resultados/carreira-da-zona-universitaria-cxou-2017/benxamin-2008-2009-2010-e-alevin-2006-2007/1,3,35,26,0,61,61,0
LIV TRAVESÍA A NADO AO PORTO DE VILAXOÁN (VILAGARCÍA DE AROUSA),03 sept. 2017,PERCORRIDO B: 900 METROS (2007 E ANTERIORES),https://ccnorte.com/resultados/liv-travesia-a-nado-ao-porto-de-vilaxoan-vilagarcia-de-arousa/percorrido-b-900-metros-2007-e-anteriores/1,2,19,12,0,31,31,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,PREBENXAMIN MASC (2010/2011),https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/prebenxamin-masc-2010-2011/1,1,10,0,0,10,10,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,PREBENXAMIN FEM (2010/2011),https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/prebenxamin-fem-2010-2011/1,1,0,9,0,9,9,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,BENXAMIN MASC (2008/2009),https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/benxamin-masc-2008-2009/1,1,4,0,0,4,4,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,BENXAMIN FEM (2008/2009),https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/benxamin-fem-2008-2009/1,1,0,8,0,8,8,0
LIV TRAVESÍA A NADO AO PORTO DE VILAXOÁN (VILAGARCÍA DE AROUSA),03 sept. 2017,PERCORRIDO A: 2000 METROS (2003 E ANTERIORES),https://ccnorte.com/resultados/liv-travesia-a-nado-ao-porto-de-vilaxoan-vilagarcia-de-arousa/percorrido-a-2000-metros-2003-e-anteriores/1,4,71,19,0,90,90,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,ALEVIN (2006/2007),https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/alevin-2006-2007/1,1,3,2,0,5,5,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,INFANTIL (2004/2005) E CADETE (2002/2003),https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/infantil-2004-2005-e-cadete-2002-2003/1,1,11,10,0,21,21,0
I CARREIRA NOCTURNA RINLO-RIBADEO,02 sept. 2017,HANDBIKE,https://ccnorte.com/resultados/i-carreira-nocturna-rinlo-ribadeo/handbike/1,1,1,0,0,1,1,0
XI C.P. CONCELLO DE BOIMORTO,02 sept. 2017,PREBENXAMÍN (2010-2012),https://ccnorte.com/resultados/xi-cp-concello-de-boimorto/prebenxamin-2010-2012/1,1,13,9,0,22,22,0
II CARRERA POPULAR - CULTIVANDO DEPORTE,09 sept. 2017,CARRERA POPULAR,https://ccnorte.com/resultados/ii-carrera-popular-cultivando-deporte/carrera-popular/1,8,118,62,0,180,180,0
XI C.P. CONCELLO DE BOIMORTO,02 sept. 2017,"INFANTIL (2004-2005), CADETE (2002-2003)",https://ccnorte.com/resultados/xi-cp-concello-de-boimorto/infantil-2004-2005-cadete-2002-2003/1,1,4,4,0,8,8,0
XI C.P. CONCELLO DE BOIMORTO,02 sept. 2017,"BENXAMIN (2008-2009) , ALEVIN (2006-2007)",https://ccnorte.com/resultados/xi-cp-concello-de-boimorto/benxamin-2008-2009-alevin-2006-2007/1,2,21,18,0,39,39,0
I TRAVESÍA DO CANEIRO - CLUB FLUVIAL DE LUGO,02 sept. 2017,TRAVESÍA CORTA CON NEOPRENO,https://ccnorte.com/resultados/i-travesia-do-caneiro-club-fluvial-de-lugo/travesia-corta-con-neopreno/1,1,2,0,0,2,2,0
I TRAVESÍA DO CANEIRO - CLUB FLUVIAL DE LUGO,02 sept. 2017,TRAVESÍA CORTA SIN NEOPRENO,https://ccnorte.com/resultados/i-travesia-do-caneiro-club-fluvial-de-lugo/travesia-corta-sin-neopreno/1,1,10,15,0,25,25,0
I TRAVESÍA DO CANEIRO - CLUB FLUVIAL DE LUGO,02 sept. 2017,TRAVESÍA LARGA CON NEOPRENO,https://ccnorte.com/resultados/i-travesia-do-caneiro-club-fluvial-de-lugo/travesia-larga-con-neopreno/1,1,3,0,0,3,3,0
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2017),03 sept. 2017,"XUVENIL,JUNIOR, PROMESA, SENIOR E VETERANOS (2001 E ANOS ANTERIORES)",https://ccnorte.com/resultados/carreira-da-zona-universitaria-cxou-2017/xuvenil-junior-promesa-senior-e-veteranos-2001-e-anos-anteriores/1,11,209,55,0,264,264,0
