nombre_carrera,candidato_lugar,ubicacion,lat,lon
XI CARREIRA PEDESTRE DO CONCELLO DE OUTES 2018,OUTES,"Outes, Noia, A Coruña, Galicia, España",42.8455717,-8.9140816
XI CARREIRA PEDESTRE DO NADAL SAN CIBRAO 2012,NADAL SAN CIBRAO,,,
XI CARREIRA POPULAR CONCELLO DE GUITIRIZ 2017,GUITIRIZ,"Guitiriz, Terra Chá, Lugo, Galicia, España",43.2140833,-7.8238736
XI CARREIRA POPULAR CONCELLO DE MONFORTE – 2019,MONFORTE –,"Monforte, Toro, Zamora, Castilla y León, 49800, España",41.5279527,-5.4425697
XI CARREIRA POPULAR DE CHANTADA,CHANTADA,"Chantada, Lugo, Galicia, España",42.6109077,-7.8107492
XI CARREIRA POPULAR DE FRIOL,FRIOL,"Friol, Lugo, Galicia, España",43.0340365,-7.8036448
XI CARREIRA POPULAR DE PADRON 2013 (sólo inscritos popular),PADRON,"Padrón, O Sar, A Coruña, Galicia, España",42.7597656,-8.6236363
XI CARREIRA POPULAR DO SAN SALVADOR - CONCELLO DE BAÑOS DE MOLGAS,MOLGAS,"Molgas Guarroman, Avenida de Linares, Polígono Industrial del Guadiel, Guarromán, Jaén, Andalucía, 23210, España",38.1433829,-3.7233256
XI CARREIRA POPULAR FEIRA DO VIÑO DE QUIROGA,QUIROGA,"Quiroga, Lugo, Galicia, España",42.4658264,-7.1849714
XI CARREIRA POPULAR LUGO MONUMENTAL - GRAN PREMIO E-ON. ABSOLUTA,LUGO MONUMENTAL - E-ON. ABSOLUTA,,,
XI CARREIRA POPULAR LUGO MONUMENTAL - GRAN PREMIO E-ON. MENORES,LUGO MONUMENTAL - E-ON. MENORES,,,
XI CARREIRA POPULAR VAL DAS FABAS LOURENZÁ,VAL DAS FABAS LOURENZÁ,,,
XI CARREIRA POPULAR “MAR DE BOIRO” 9º. Memorial Pepe Buceta,BOIRO” 9º. Pepe Buceta,,,
XI CARREIRA SOLIDARIA DO ARENTEIRO (O CARBALLIÑO),ARENTEIRO,"Arenteiro, Barrán, Piñor, O Carballiño, Ourense, Galicia, 32137, España",42.5104506,-8.0080772
XI CARREIRA VIRTUAL LETRAS GALEGAS CONCELLO DE VILALBA,VILALBA,"Vilalba, Terra Chá, Lugo, Galicia, España",43.3263225,-7.6946722
XI CARREIRA e VIII MEDIA CARREIRA POR MONTAÑA ”CANÓN do SIL“,SIL“,"Palacios del Sil, León, Castilla y León, 24495, España",42.8760994,-6.4315336
XI CARRERA DEL AGUA UNICEF SADA,DEL AGUA UNICEF SADA,,,
XI CARRERA POPULAR NOCTURNA XINZO DE LIMIA,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
XI Carreira Pedestre San Brais 23,Pedestre San Brais 23,,,
XI Carreira Popular Concello de Redondela 2018,Redondela,"Redondela, Vigo, Pontevedra, Galicia, España",42.279914,-8.6163366
XI DUATLON CROS CONCELLO DE POIO,POIO,"Poio, Pontevedra, Galicia, España",42.4419456,-8.6921884
XI Dúatlon Concello de Guitiriz,Guitiriz,"Guitiriz, Terra Chá, Lugo, Galicia, España",43.2140833,-7.8238736
XI EDICIÓN CORREXSALCEDA 2024,CORREXSALCEDA,,,
XI EDICIÓN TRAIL E ANDAINA DE CELA 2025,CELA,"Cela, Cambre, A Coruña, Galicia, España",43.2896233,-8.3294532
XI EDICIÓN TRAVESÍA A NADO COSTA SERENA-GRAN PREMIO CONCELLO DE NIGRÁN 2021,NIGRÁN,"Nigrán, Vigo, Pontevedra, Galicia, España",42.1425187,-8.7880115
XI INTERRUNNING-CONCELLO DE PORRIÑO 2017,PORRIÑO,"O Porriño, Vigo, Pontevedra, Galicia, España",42.1364387,-8.6255949
XI MARATON INTERNACIONAL “CIUDAD DE GIJON” (PATINAJE DE VELOCIDAD),VELOCIDAD),"Línea de Alta Velocidad Castejón – Pamplona, Carretera Beriáin - Subiza, Subiza, Subiza / Zubitza, Beriáin, Iruñerria, Navarra, Navarra / Nafarroa, 31191, España",42.7275966,-1.6515008
XI MARCHA BTT & TRAIL CONCELLO DE NIGRÁN 2016,NIGRÁN,"Nigrán, Vigo, Pontevedra, Galicia, España",42.1425187,-8.7880115
XI MEDIA MARATON CIUDAD DE PONFERRADA 2014,PONFERRADA,"Ponferrada, El Bierzo, León, Castilla y León, España",42.4984436,-6.5663176
XI MEDIA MARATON NOCTURNA CIUDAD DE PONFERRADA (21 LUNAS ... Y MEDIA),PONFERRADA,"Ponferrada, El Bierzo, León, Castilla y León, España",42.4984436,-6.5663176
XI MEDIA MARATÓN LEÓN MANJAR DE REYES,REYES,"Reyes, Las Navas de la Concepción, Sevilla, Andalucía, España",37.917708,-5.4464281
XI MEDIA MARATÓN RIBADEO - AS CATEDRAIS,MEDIA RIBADEO - AS CATEDRAIS,,,
XI MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2014,EDUARDO FERNÁNDEZ VILLAMARÍN,,,
XI MOUNTEMPLARIA,MOUNTEMPLARIA,,,
XI SUBIDA AO CASTRO 2016,AO CASTRO,"Camiño do Outeiro ao Castro, O Castro, O Outeiro, Atios, O Porriño, Vigo, Pontevedra, Galicia, 36411, España",42.1429524,-8.6065375
XI SUBIDA CICLOTURISTA A GROBA,CICLOTURISTA A GROBA,,,
XI TRAIL CONCELLO DE ARTEIXO,ARTEIXO,"Arteixo, A Coruña, Galicia, España",43.3045792,-8.5079101
XI TRAIL TRANS SERRA DA GROBA - BAIONA 2024,GROBA - BAIONA,"Rocosto da Groba, Baiona, Vigo, Pontevedra, Galicia, 36307, España",42.0552667,-8.8121083
XI TRAVESIA DESAFÍO SANTANDER ISLAS CIES 2021,DESAFÍO SANTANDER ISLAS CIES,,,
XI TRIATLÓN DESAFÍO ISLAS CÍES 2024,DESAFÍO ISLAS CÍES,,,
XI TRÍATLON CONCELLO DE PORRIÑO-TUI,PORRIÑO-TUI,"Alternativa Camiño Portugués por Porriño, Vides, Ribadelouro, Tui, O Baixo Miño, Pontevedra, Galicia, 36475, España",42.1102488,-8.6400969
XII ANDAINA E V TRAIL ``CONCELLO DE BANDE´´,BANDE´´,"Bande, A Baixa Limia, Ourense, Galicia, España",42.0226108,-7.9477755
XII BAIXADA POPULAR DE CROSS SAN PEDRO DE VISMA,VISMA,"Visma, A Coruña, Galicia, España",43.3649418,-8.4422016
XII CAMOVI (CARREIRA POR MONTAÑA MONTES DE VIVEIRO) 2023,VIVEIRO),"Viveiro, A Mariña Occidental, Lugo, Galicia, España",43.6433582,-7.5957612
XII CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA DE AROUSA,AROUSA,"Arousa, 14,16,18, Rúa de Curros Enríquez, A Rosaleda, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.875123,-8.5411348
XII CARREIRA NOCTURNA DE CELANOVA,CELANOVA,"Celanova, Terra da Celanova, Ourense, Galicia, España",42.1664426,-7.9611378
XII CARREIRA PEDESTRE CONCELLO DE MOAÑA,MOAÑA,"Moaña, Morrazo, Pontevedra, Galicia, España",42.2979465,-8.7096152
XII CARREIRA PEDESTRE DO CONCELLO DE OUTES 2019,OUTES,"Outes, Noia, A Coruña, Galicia, España",42.8455717,-8.9140816
XII CARREIRA PEDESTRE DO NADAL SAN CIBRAO DAS VIÑAS,NADAL SAN CIBRAO DAS VIÑAS,,,
XII CARREIRA PEDESTRE DO NADAL SAN CIBRAO DAS VIÑAS - MENORES,NADAL SAN CIBRAO DAS VIÑAS - MENORES,,,
XII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,BOIMORTO,"Boimorto, Arzúa, A Coruña, Galicia, España",43.012561,-8.1387648
XII CARREIRA PEDESTRE VILA DE CORCUBION - 10K,CORCUBION - 10K,"Corcubión, Fisterra, A Coruña, Galicia, 15130, España",42.9425251,-9.1969576
XII CARREIRA PEDESTRE VILA DE CORCUBION - 5K-XUVENIL,CORCUBION - 5K-XUVENIL,,,
XII CARREIRA PEDESTRE VILA DE CORCUBION - MENORES,CORCUBION - MENORES,,,
XII CARREIRA POPULAR CONCELLO DE GUITIRIZ TERMAL,GUITIRIZ TERMAL,,,
XII CARREIRA POPULAR DE CHANTADA,CHANTADA,"Chantada, Lugo, Galicia, España",42.6109077,-7.8107492
XII CARREIRA POPULAR DE FRIOL,FRIOL,"Friol, Lugo, Galicia, España",43.0340365,-7.8036448
"XII CARREIRA POPULAR DE TABOADA ""ENTRE PAZOS E CARBALLOS"" 2025","TABOADA ""ENTRE PAZOS E CARBALLOS""",,,
XII CARREIRA POPULAR FEIRA DO VIÑO DE QUIROGA 2016,QUIROGA,"Quiroga, Lugo, Galicia, España",42.4658264,-7.1849714
XII CARREIRA POPULAR NOCTURNA DE XINZO DE LIMIA,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
XII CARREIRA SOLIDARIA DO ARENTEIRO (O CARBALLIÑO),ARENTEIRO,"Arenteiro, Barrán, Piñor, O Carballiño, Ourense, Galicia, 32137, España",42.5104506,-8.0080772
XII CARRERA CAÑON DEL SIL,CAÑON DEL SIL,"Ruta Porta do Canón do Sil, Rúa do Barrio, O Barrio, Xunqueira de Espadanedo, Allariz-Maceda, Ourense, Galicia, 32730, España",42.3185458,-7.6290891
XII Carreira Pedestre San Brais 24,Pedestre San Brais 24,,,
XII Carreira Popular Concello de Redondela 2019,Redondela,"Redondela, Vigo, Pontevedra, Galicia, España",42.279914,-8.6163366
XII EDICIÓN CORREXSALCEDA 2025,CORREXSALCEDA,,,
XII INTERRUNNING-CONCELLO DE PORRIÑO 2018,PORRIÑO,"O Porriño, Vigo, Pontevedra, Galicia, España",42.1364387,-8.6255949
XII LUGO MONUMENTAL - GRAN PREMIO DIVINA PASTORA SEGUROS 2014,LUGO MONUMENTAL - DIVINA PASTORA SEGUROS,,,
XII MEDIA MARATON NOCTURNA CIUDAD DE PONFERRADA (21 LUNAS ... Y MEDIA),PONFERRADA,"Ponferrada, El Bierzo, León, Castilla y León, España",42.4984436,-6.5663176
XII MEDIA MARATÓN CIUDAD DE LEÓN BERNESGA MOTOR,LEÓN BERNESGA MOTOR,,,
XII MEDIO MARATON FERREIRUA 2013,FERREIRUA,"Ferreirua, As Portas, Soutordei, Ribas de Sil, Quiroga, Lugo, Galicia, 27318, España",42.4216799,-7.2885278
XII MEMORIAL EDUARDO FERNANDEZ VILLAMARIN 2015,EDUARDO FERNANDEZ VILLAMARIN,,,
XII MOUNTEMPLARIA,MOUNTEMPLARIA,,,
XII RUTA SERRA DO XISTRAL MONSEIVANE EN BTT,RUTA SERRA DO XISTRAL MONSEIVANE EN BTT,,,
XII TRAIL DE CELA 2026,CELA,"Cela, Cambre, A Coruña, Galicia, España",43.2896233,-8.3294532
XII edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2022,Nigrán,"Nigrán, Vigo, Pontevedra, Galicia, España",42.1425187,-8.7880115
XIII 10km LUGO MONUMENTAL 2016,10km LUGO MONUMENTAL,,,
XIII CAMOVI (CARREIRA POR MONTAÑA MONTES DE VIVEIRO) 2024,VIVEIRO),"Viveiro, A Mariña Occidental, Lugo, Galicia, España",43.6433582,-7.5957612
XIII CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA DE AROUSA,AROUSA,"Arousa, 14,16,18, Rúa de Curros Enríquez, A Rosaleda, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.875123,-8.5411348
XIII CARREIRA NOCTURNA DE CELANOVA,CELANOVA,"Celanova, Terra da Celanova, Ourense, Galicia, España",42.1664426,-7.9611378
XIII CARREIRA PEDESTRE DE OUTES,OUTES,"Outes, Noia, A Coruña, Galicia, España",42.8455717,-8.9140816
XIII CARREIRA PEDESTRE DO NADAL CONCELLO SAN CIBRAO DAS VIÑAS 10 KM POPULAR,NADAL SAN CIBRAO DAS VIÑAS 10 KM,,,
XIII CARREIRA PEDESTRE DO NADAL CONCELLO SAN CIBRAO DAS VIÑAS 10 KM PROVINCIAL,NADAL SAN CIBRAO DAS VIÑAS 10 KM,,,
XIII CARREIRA PEDESTRE DO NADAL CONCELLO SAN CIBRAO DAS VIÑAS 5 KM,NADAL SAN CIBRAO DAS VIÑAS 5 KM,,,
"XIII CARREIRA PEDESTRE POPULAR CONCELLO DE AMES, Bertamiráns 2012","AMES, Bertamiráns","Ames Grill, Avenida da Maía, O Rueiro, Bertamiráns, O Pedregal, Ortoño, Ames, Santiago, A Coruña, Galicia, 15220, España",42.8581423,-8.6557708
XIII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,BOIMORTO,"Boimorto, Arzúa, A Coruña, Galicia, España",43.012561,-8.1387648
XIII CARREIRA POLULAR DO SAN SALVADOR - CONCELLO DE BAÑOS DE MOLGAS,MOLGAS,"Molgas Guarroman, Avenida de Linares, Polígono Industrial del Guadiel, Guarromán, Jaén, Andalucía, 23210, España",38.1433829,-3.7233256
XIII CARREIRA POPULAR CONCELLO DE GUITIRIZ TERMAL,GUITIRIZ TERMAL,,,
XIII CARREIRA POPULAR DE ARTEIXO,ARTEIXO,"Arteixo, A Coruña, Galicia, España",43.3045792,-8.5079101
XIII CARREIRA POPULAR FEIRA DO VIÑO DE QUIROGA 2017,QUIROGA,"Quiroga, Lugo, Galicia, España",42.4658264,-7.1849714
XIII CARREIRA POPULAR NOCTURNA DE XINZO DE LIMIA,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
XIII CARREIRA POPULAR ROTA DO ROMANICO PANTON 2013,ROMANICO PANTON,,,
XIII CARREIRA SOLIDARIA DO ARENTEIRO (O CARBALLIÑO),ARENTEIRO,"Arenteiro, Barrán, Piñor, O Carballiño, Ourense, Galicia, 32137, España",42.5104506,-8.0080772
XIII CARRERA CAÑON DEL SIL,CAÑON DEL SIL,"Ruta Porta do Canón do Sil, Rúa do Barrio, O Barrio, Xunqueira de Espadanedo, Allariz-Maceda, Ourense, Galicia, 32730, España",42.3185458,-7.6290891
XIII Carrera de O Porriño 10k,O Porriño 10k,"O Porriño, Vigo, Pontevedra, Galicia, 36400, España",42.1618812,-8.6202683
XIII MEDIA MARATÓN CIUDAD DE LEÓN BERNESGA MOTOR 2023,LEÓN BERNESGA MOTOR,,,
XIII MEDIO MARATON FERREIRUA 2014,FERREIRUA,"Ferreirua, As Portas, Soutordei, Ribas de Sil, Quiroga, Lugo, Galicia, 27318, España",42.4216799,-7.2885278
XIII MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2016,EDUARDO FERNÁNDEZ VILLAMARÍN,,,
XIII MEMORIAL MANUEL BARROS. ADULTOS 10000m,MANUEL BARROS. ADULTOS 10000m,,,
XIII Ruta Serra do Xistral Monseivane en BTT,Ruta Serra do Xistral Monseivane en BTT,,,
XIII TRAVESÍA A NADO CONCELLO DE BUEU UDRA- PESCADOIRA,BUEU UDRA- PESCADOIRA,,,
XIII TRAVESÍA A NADO “CONCELLO DE ARTEIXO” XII Memorial Marina Álvarez,ARTEIXO” XII Marina Álvarez,,,
XIII edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2023,Nigrán,"Nigrán, Vigo, Pontevedra, Galicia, España",42.1425187,-8.7880115
XIIIª CARREIRA POPULAR XIIª ANDAINA MASIDE (FUNDACIÓN ANDREA),XIIª MASIDE,,,
XIIª CARREIRA POPULAR XIª ANDAINA MASIDE (FUNDACIÓN ANDREA),XIª MASIDE,,,
XIV 10km LUGO MONUMENTAL 2016,10km LUGO MONUMENTAL,,,
XIV Baixada Popular de Cross San Pedro de Visma,Visma,"Visma, A Coruña, Galicia, España",43.3649418,-8.4422016
XIV CAMOVI (CARREIRA POR MONTAÑA MONTES DE VIVEIRO) 2025,VIVEIRO),"Viveiro, A Mariña Occidental, Lugo, Galicia, España",43.6433582,-7.5957612
XIV CARREIRA CANON DO SIL,SIL,"Palacios del Sil, León, Castilla y León, 24495, España",42.8760994,-6.4315336
XIV CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA DE AROUSA,AROUSA,"Arousa, 14,16,18, Rúa de Curros Enríquez, A Rosaleda, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.875123,-8.5411348
XIV CARREIRA NOCTURNA DE CELANOVA,CELANOVA,"Celanova, Terra da Celanova, Ourense, Galicia, España",42.1664426,-7.9611378
XIV CARREIRA PEDESTRE DE OUTES,OUTES,"Outes, Noia, A Coruña, Galicia, España",42.8455717,-8.9140816
XIV CARREIRA PEDESTRE DO NADAL CONCELLO SAN CIBRAO DAS VIÑAS,NADAL SAN CIBRAO DAS VIÑAS,,,
XIV CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,BOIMORTO,"Boimorto, Arzúa, A Coruña, Galicia, España",43.012561,-8.1387648
XIV CARREIRA POPULAR CONCELLO DE O CORGO- MEMORIAL QUIQUE CASANOVA,O CORGO- QUIQUE CASANOVA,,,
XIV CARREIRA POPULAR DE ARTEIXO,ARTEIXO,"Arteixo, A Coruña, Galicia, España",43.3045792,-8.5079101
XIV CARREIRA POPULAR DE CHANTADA.10 km no corazón,CHANTADA.10 km no corazón,,,
XIV CARREIRA POPULAR FEIRA DO VIÑO DE QUIROGA 2018,QUIROGA,"Quiroga, Lugo, Galicia, España",42.4658264,-7.1849714
"XIV CARREIRA POPULAR ROTA DO ROMÁNICO, Ferreira de Pantón",Pantón,"Pantón, Terra de Lemos, Lugo, Galicia, España",42.5085958,-7.6423659
XIV CARRERA O PORRIÑO 10K,O PORRIÑO 10K,"O Porriño, Vigo, Pontevedra, Galicia, 36400, España",42.1618812,-8.6202683
XIV CIRCUITO LARSA CORRE CON NOS 2013-2014. FRIGSA,LARSA CORRE CON NOS,,,
XIV COPA DE ASTURIAS DE NATACION DE LARGA DISTANCIA,LARGA DISTANCIA,"Checking Larga Distancia, Avinguda de Salamanca, Diputació, Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, 03003, España",38.344465,-0.4950734
XIV CROSS POPULAR DO CONCELLO DE BOBORAS ADULTOS,BOBORAS ADULTOS,,,
XIV CROSS POPULAR DO CONCELLO DE BOBORAS CANICROSS,BOBORAS CANICROSS,,,
XIV CROSS POPULAR DO CONCELLO DE BOBORAS MENORES,BOBORAS MENORES,,,
XIV Carreira Pedestre Concello de Corcubión 2015,Corcubión,"Corcubión, Fisterra, A Coruña, Galicia, 15130, España",42.9330687,-9.201047
XIV Carrera de O Porriño 10k,O Porriño 10k,"O Porriño, Vigo, Pontevedra, Galicia, 36400, España",42.1618812,-8.6202683
XIV MEDIA MARATÓN CIUDAD DE LEÓN BERNESGA MOTOR,LEÓN BERNESGA MOTOR,,,
XIV MEDIO MARATON VIG-BAY 2013,VIG-BAY,,,
XIV MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2017,EDUARDO FERNÁNDEZ VILLAMARÍN,,,
XIV Ruta Serra do Xistral Monseivane en BTT 2016,Ruta Serra do Xistral Monseivane en BTT 2016,,,
XIV SAN SILVESTRE POPULAR CIUDAD DE LEÓN 2010 6000m,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
XIV TRAVESÍA A NADO CONCELLO DE BUEU UDRA- PESCADOIRA 2025,BUEU UDRA- PESCADOIRA,,,
XIV edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2024,Nigrán,"Nigrán, Vigo, Pontevedra, Galicia, España",42.1425187,-8.7880115
XIVª CARREIRA POPULAR XIIIª ANDAINA MASIDE (FUNDACIÓN ANDREA),XIIIª MASIDE,,,
XIX CARREIRA POPULAR CONCELLO DE CARTELLE,CARTELLE,"Cartelle, Terra da Celanova, Ourense, Galicia, España",42.2378413,-8.0327765
XIX CARREIRA POPULAR DO CONCELLO DE ORDES. ADULTOS,ORDES. ADULTOS,,,
XIX CARREIRA POPULAR ROTA DO ROMÁNICO CONCELLO DE PANTON,PANTON,"Pantón, Terra de Lemos, Lugo, Galicia, España",42.5085958,-7.6423659
XIX CARRERA DE LA ANTIGUA - MEMORIAL FELIPE MENDEZ,LA ANTIGUA - FELIPE MENDEZ,,,
XIX CARRERA POPULAR CONCELLO DE ARTEIXO 2016,ARTEIXO,"Arteixo, A Coruña, Galicia, España",43.3045792,-8.5079101
XIX CIRCUITO GALLEGO OPEN DE AGUAS ABIERTAS ETAPA FINAL,AGUAS ABIERTAS ETAPA,,,
XIX CIRCUITO LARSA CORRE CON NÓS. CENTRO COMERCIAL AS TERMAS,LARSA CORRE CON NÓS. CENTRO COMERCIAL AS TERMAS,,,
XIX CIRCUITO LARSA CORRE CON NÓS. CORRE CON NÓS MURAMIÑAE,LARSA CORRE CON NÓS. CORRE CON NÓS MURAMIÑAE,,,
XIX CIRCUITO LARSA CORRE CON NÓS. CORRE CON NÓS–CORRE CON ELAS,LARSA CORRE CON NÓS. CORRE CON NÓS–CORRE CON ELAS,,,
XIX CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,LARSA CORRE CON NÓS. ESTRADA RÍO RATO,,,
XIX CIRCUITO LARSA CORRE CON NÓS. FINALES MENORES / ADULTOS PARQUE DE FRIGSA,FRIGSA,"Parque da Milagrosa, A Milagrosa, Lugo, Galicia, España",43.0222696,-7.5632399
XIX CIRCUITO LARSA CORRE CON NÓS. NOCTURNA CASCO HISTÓRICO,LARSA CORRE CON NÓS. CASCO HISTÓRICO,,,
XIX CLÁSICA VILA DAS PONTES – DESAFÍO FRAGAS DO EUME,EUME,"O Eume, A Coruña, Galicia, España",43.4232599,-7.9966276
XIX COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,AGUAS ABIERTAS,,,
XIX CROSS POPULAR DO CONCELLO DE BOBORÁS (OURENSE),BOBORÁS,"Boborás, O Carballiño, Ourense, Galicia, 32514, España",42.4492271,-8.1685559
XIX EDICIÓN DA CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA,VILAGARCÍA,"Vilagarcía, Vilagarcía de Arousa, O Salnés, Pontevedra, Galicia, 36600, España",42.5947625,-8.7669178
XIX MARCHA CICLOTURISTA LARRA-LARRAU CORTA 2012,MARCHA CICLOTURISTA LARRA-LARRAU CORTA,,,
XIX MARCHA CICLOTURISTA LARRA-LARRAU LARGA 2012,MARCHA CICLOTURISTA LARRA-LARRAU LARGA,,,
XIX MEDIO MARATON PONTEVEDRA 2014. COMPENSADA FEMENINA,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
XIX MEDIO MARATON PONTEVEDRA 2014. COMPENSADA MASCULINA,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
XIX MEDIO MARATON PONTEVEDRA 2014. SÓLO INSCRITOS CCCP,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
XIX MEDIO MARATÓN GRAN BAHÍA VIG-BAY edp,BAHÍA VIG-BAY edp,,,
XIX MILLA VILA DE SANXENXO,SANXENXO,"Sanxenxo, O Salnés, Pontevedra, Galicia, España",42.4220772,-8.8353365
XIX SAN SILVESTRE POPULAR CIUDAD DE LEÓN,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
XIX TRAVESÍA INTEGRAL DE LOS MONTES AQUILIANOS 2014,LOS MONTES AQUILIANOS,,,
XIX Tríatlon Cidade de Ferrol,Ferrol,"Ferrol, A Coruña, Galicia, España",43.5113053,-8.2624767
XIX Tríatlon Cidade de Pontevedra,Pontevedra,"Pontevedra, Galicia, España",42.428065,-8.6041447
XIX “SAN SILVESTRE” CASTRELO DE MIÑO,MIÑO,"Miño, Betanzos, A Coruña, Galicia, España",43.3578653,-8.1792627
XIª CARREIRA POPULAR Xª ANDAINA MASIDE (PRUEBA SOLIDARIA AODEM),Xª MASIDE,,,
XL SAN SILVESTRE GIJON 2009,SAN SILVESTRE GIJON,,,
XL SAN SILVESTRE SALMANTINA,SAN SILVESTRE SALMANTINA,,,
XL TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,VILAGARCÍA,"Vilagarcía, Vilagarcía de Arousa, O Salnés, Pontevedra, Galicia, 36600, España",42.5947625,-8.7669178
XL TROFEO DE PEDESTRISMO CONCELLO DE CANGAS,CANGAS,"Cangas, Pantón, Terra de Lemos, Lugo, Galicia, 27437, España",42.4701403,-7.6458705
XLI SAN SILVESTRE GIJON 2010,SAN SILVESTRE GIJON,,,
XLI SAN SILVESTRE SALMANTINA,SAN SILVESTRE SALMANTINA,,,
XLI TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,VILAGARCÍA,"Vilagarcía, Vilagarcía de Arousa, O Salnés, Pontevedra, Galicia, 36600, España",42.5947625,-8.7669178
XLI TROFEO PEDESTRISMO CONCELLO DE CANGAS - MEMORIAL PEPE CORDEIRO 2014,CANGAS - PEPE CORDEIRO,,,
XLII CARREIRA PEDESTRE POPULAR SAN MARTIÑO 2018,PEDESTRE SAN MARTIÑO,,,
XLII SAN SILVESTRE GIJON 2011,SAN SILVESTRE GIJON,,,
XLII TRAVESIA A NADO DIQUE BARRIE DA MAZA,MAZA,"Santana de Maza, Piloña, Asturias / Asturies, España",43.3199053,-5.4382541
XLII TROFEO PEDESTRISMO CONCELLO DE CANGAS MEMORIAL PEPE CORDEIRO,CANGAS PEPE CORDEIRO,,,
XLIII SAN SILVESTRE GIJON 2012,SAN SILVESTRE GIJON,,,
XLIII TRAVESIA A NADO BARRIE DA MAZA 2014 1200M ADULTOS,MAZA,"Santana de Maza, Piloña, Asturias / Asturies, España",43.3199053,-5.4382541
XLIII TRAVESIA A NADO BARRIE DA MAZA 2014 1200M MENORES,MAZA,"Santana de Maza, Piloña, Asturias / Asturies, España",43.3199053,-5.4382541
XLIII TRAVESIA A NADO BARRIE DA MAZA 2014 2300M,MAZA,"Santana de Maza, Piloña, Asturias / Asturies, España",43.3199053,-5.4382541
XLIII TRAVESIA A NADO BARRIE DA MAZA 2014 3500M,MAZA,"Santana de Maza, Piloña, Asturias / Asturies, España",43.3199053,-5.4382541
XLIII TROFEO PEDESTRISMO CONCELLO DE CANGAS MEMORIAL PEPE CORDEIRO,CANGAS PEPE CORDEIRO,,,
XLIV TRAVESÍA AO DIQUE,AO DIQUE,"O Dique, Queiruga, O Porto do Son, Noia, A Coruña, Galicia, 15998, España",42.6834511,-9.023156
XLIV TROFEO PEDESTRISMO CONCELLO DE CANGAS Memorial Pepe Cordeiro,CANGAS Pepe Cordeiro,,,
XLIX TROFEO PEDESTRISMO CONCELLO DE CANGAS Memorial Pepe Cordeiro,CANGAS Pepe Cordeiro,,,
XLV TRAVESÍA AO DIQUE,AO DIQUE,"O Dique, Queiruga, O Porto do Son, Noia, A Coruña, Galicia, 15998, España",42.6834511,-9.023156
XLV TROFEO PEDESTRISMO CONCELLO DE CANGAS Memorial Pepe Cordeiro,CANGAS Pepe Cordeiro,,,
XLVI TRAVESÍA AO DIQUE,AO DIQUE,"O Dique, Queiruga, O Porto do Son, Noia, A Coruña, Galicia, 15998, España",42.6834511,-9.023156
XLVI TROFEO PEDESTRISMO CONCELLO DE CANGAS Memorial Pepe Cordeiro,CANGAS Pepe Cordeiro,,,
XLVII TRAVESÍA AO DIQUE,AO DIQUE,"O Dique, Queiruga, O Porto do Son, Noia, A Coruña, Galicia, 15998, España",42.6834511,-9.023156
XLVII TROFEO PEDESTRISMO CONCELLO DE CANGAS Memorial Pepe Cordeiro,CANGAS Pepe Cordeiro,,,
XLVIII TRAVESÍA AO DIQUE,AO DIQUE,"O Dique, Queiruga, O Porto do Son, Noia, A Coruña, Galicia, 15998, España",42.6834511,-9.023156
