fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,categoria_genero,modalidad
ccnorte,XVIII CARREIRA PEDESTRE DO NADAL CONCELLO SAN CIBRAO DAS VIÑAS,2019-12-15,Domingo,2.5,road running,Absoluta/General,19,29,San Cibrao das Viñas,Ourense,Ourense,0,mixto,PROBA
ccnorte,XVIII CARREIRA POPULAR CONCELLO DE ARTEIXO,2015-05-01,Viernes,0.0,road running,Absoluta/General,125,711,Arteixo,A Coruña,Galicia,0,mixto,ABSOLUTA
ccnorte,XVIII CARREIRA POPULAR CONCELLO DE ARTEIXO,2015-05-01,Viernes,0.0,road running,Infantil,77,105,Arteixo,A Coruña,Galicia,0,mixto,BENXAMIN E ALEVIN
ccnorte,XVIII CARREIRA POPULAR CONCELLO DE ARTEIXO,2015-05-01,Viernes,0.0,road running,Infantil,58,42,Arteixo,A Coruña,Galicia,0,mixto,INFANTIL-CADETE-XUVENIL
ccnorte,XVIII CARREIRA POPULAR CONCELLO DE CARTELLE 2014,2014-08-16,Sábado,10.0,road running,Absoluta/General,0,0,Outomuro,Terra da Celanova,Ourense,0,mixto,PROBA ABSOLUTA
ccnorte,XVIII CARREIRA POPULAR DO CONCELLO DE ORDES 2013,2013-06-09,Domingo,9.5,road running,Absoluta/General,0,0,Ordes,Ordes,Galicia,0,mixto,PROBA ABSOLUTA
ccnorte,XVIII CARREIRA POPULAR ROTA DO ROMÁNICO CONCELLO DE PANTON,2018-05-26,Sábado,0.0,road running,Absoluta/General,14,66,O Castro de Ferreira,Terra de Lemos,Lugo,0,mixto,ABSOLUTA
ccnorte,XVIII CARREIRA POPULAR VILA DE CORCUBIÓN,2019-09-01,Domingo,3.0,road running,Absoluta/General,66,70,Corcubión,Fisterra,Galicia,0,mixto,CONTRA O CANCRO
ccnorte,XVIII CARREIRA POPULAR VILA DE CORCUBIÓN,2019-09-01,Domingo,10.0,road running,Absoluta/General,35,144,Corcubión,Fisterra,Galicia,0,mixto,ABSOLUTA
ccnorte,XVIII CARREIRA POPULAR VILA DE CORCUBIÓN,2019-09-01,Domingo,0.0,road running,Infantil,16,15,Corcubión,Fisterra,Galicia,0,mixto,ALEVIN
ccnorte,XVIII CARREIRA POPULAR VILA DE CORCUBIÓN,2019-09-01,Domingo,0.0,road running,Infantil,13,12,Corcubión,Fisterra,Galicia,0,mixto,BENXAMIN
ccnorte,XVIII CARREIRA POPULAR VILA DE CORCUBIÓN,2019-09-01,Domingo,0.0,road running,Infantil,22,24,Corcubión,Fisterra,Galicia,0,mixto,"INFANTIL , CADETE E XUVENIL"
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. CENTRO COMERCIAL AS TERMAS,2018-03-18,Domingo,0.0,road running,Absoluta/General,146,425,Lugo,Lugo,Lugo,0,mixto,ADULTOS
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. CENTRO COMERCIAL AS TERMAS,2018-03-18,Domingo,0.0,road running,Absoluta/General,0,0,Lugo,Lugo,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. CENTRO COMERCIAL AS TERMAS,2018-03-18,Domingo,0.0,road running,Infantil,51,63,Lugo,Lugo,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. CENTRO COMERCIAL AS TERMAS,2018-03-18,Domingo,0.0,road running,Infantil,11,19,Lugo,Lugo,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2018-02-18,Domingo,0.0,road running,Absoluta/General,186,469,Lugo,Lugo,Lugo,0,mixto,ADULTOS
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2018-02-18,Domingo,0.0,road running,Absoluta/General,0,0,Lugo,Lugo,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2018-02-18,Domingo,0.0,road running,Infantil,63,70,Lugo,Lugo,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2018-02-18,Domingo,0.0,road running,Infantil,17,33,Lugo,Lugo,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. FINALES MENORES / ADULTOS PARQUE DE FRIGSA,2018-06-10,Domingo,0.0,road running,Absoluta/General,105,313,Lugo,Lugo,Lugo,0,mixto,ADULTOS
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. FINALES MENORES / ADULTOS PARQUE DE FRIGSA,2018-06-10,Domingo,0.0,road running,Absoluta/General,0,0,Lugo,Lugo,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. FINALES MENORES / ADULTOS PARQUE DE FRIGSA,2018-06-10,Domingo,0.0,road running,Infantil,36,45,Lugo,Lugo,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. FINALES MENORES / ADULTOS PARQUE DE FRIGSA,2018-06-10,Domingo,0.0,road running,Infantil,7,18,Lugo,Lugo,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2018-01-20,Sábado,0.0,road running,Absoluta/General,219,530,,,,0,mixto,ADULTOS
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2018-01-20,Sábado,0.0,road running,Absoluta/General,0,0,,,,0,mixto,ADULTOS [Compensada]
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2018-01-20,Sábado,0.0,road running,Infantil,54,63,,,,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2018-01-20,Sábado,0.0,road running,Infantil,12,24,,,,0,mixto,INFANTIL E CADETE
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. PASEO OMBREIRO (SAAMASAS-ANXO CARRO),2018-04-15,Domingo,0.0,road running,Absoluta/General,159,401,,,,0,mixto,ADULTOS
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. PASEO OMBREIRO (SAAMASAS-ANXO CARRO),2018-04-15,Domingo,0.0,road running,Absoluta/General,0,0,,,,0,mixto,ADULTOS [Compensada]
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. PASEO OMBREIRO (SAAMASAS-ANXO CARRO),2018-04-15,Domingo,0.0,road running,Infantil,51,53,,,,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. PASEO OMBREIRO (SAAMASAS-ANXO CARRO),2018-04-15,Domingo,0.0,road running,Infantil,16,18,,,,0,mixto,INFANTIL E CADETE
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL PAZO FEIRAS E EXPOSICIONS,2018-05-19,Sábado,0.0,road running,Absoluta/General,101,276,A Coruña,A Coruña,Galicia,0,mixto,ADULTOS
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL PAZO FEIRAS E EXPOSICIONS,2018-05-19,Sábado,0.0,road running,Absoluta/General,0,0,A Coruña,A Coruña,Galicia,0,mixto,ADULTOS [Compensada]
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL PAZO FEIRAS E EXPOSICIONS,2018-05-19,Sábado,0.0,road running,Infantil,27,42,A Coruña,A Coruña,Galicia,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL PAZO FEIRAS E EXPOSICIONS,2018-05-19,Sábado,0.0,road running,Infantil,5,15,A Coruña,A Coruña,Galicia,0,mixto,INFANTIL E CADETE
ccnorte,XVIII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL PAZO FEIRAS E EXPOSICIONS,2018-05-19,Sábado,0.0,road running,Equipos,0,0,A Coruña,A Coruña,Galicia,0,mixto,RELEVOS EQUIPOS FEMENINOS
