fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,total_poblacion,poblacion_h,poblacion_d,es_carrera_popular,distancia_conocida
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,,Multidisciplina,Absoluta/General,0.0,0.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,2025,11,Otoño,0.0,True,VITORIA-GASTEIZ,ALAVA,1.0,260402.0,126749.0,133653.0,False,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,,Multidisciplina,Absoluta/General,1.0,7.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,2025,11,Otoño,8.0,True,VITORIA-GASTEIZ,ALAVA,1.0,260402.0,126749.0,133653.0,False,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,,Multidisciplina,Absoluta/General,4.0,6.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,2025,11,Otoño,10.0,True,VITORIA-GASTEIZ,ALAVA,1.0,260402.0,126749.0,133653.0,False,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,,Multidisciplina,Absoluta/General,4.0,1.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,2025,11,Otoño,5.0,True,VITORIA-GASTEIZ,ALAVA,1.0,260402.0,126749.0,133653.0,False,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,,Multidisciplina,Absoluta/General,3.0,8.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,2025,11,Otoño,11.0,True,VITORIA-GASTEIZ,ALAVA,1.0,260402.0,126749.0,133653.0,False,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,,Otros,Infantil,3.0,2.0,Alcalá la Real,,Jaén,2025,11,Otoño,5.0,True,ALCALA LA REAL,JAEN,23.0,21577.0,10650.0,10927.0,False,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,,Otros,Infantil,7.0,12.0,Alcalá la Real,,Jaén,2025,11,Otoño,19.0,True,ALCALA LA REAL,JAEN,23.0,21577.0,10650.0,10927.0,False,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,,Otros,Infantil,7.0,14.0,Alcalá la Real,,Jaén,2025,11,Otoño,21.0,True,ALCALA LA REAL,JAEN,23.0,21577.0,10650.0,10927.0,False,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,,Otros,Infantil,11.0,12.0,Alcalá la Real,,Jaén,2025,11,Otoño,23.0,True,ALCALA LA REAL,JAEN,23.0,21577.0,10650.0,10927.0,False,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,,Otros,Infantil,5.0,9.0,Alcalá la Real,,Jaén,2025,11,Otoño,14.0,True,ALCALA LA REAL,JAEN,23.0,21577.0,10650.0,10927.0,False,False
buscametas,Lemoatx Trail,2025-11-16,Domingo,25.0,trail running,Absoluta/General,15.0,134.0,Lemoa,,Bizkaia,2025,11,Otoño,149.0,True,LEMOA,BIZKAIA,48.0,3611.0,1824.0,1787.0,False,True
buscametas,Lemoatx Trail,2025-11-16,Domingo,17.0,trail running,Absoluta/General,35.0,168.0,Lemoa,,Bizkaia,2025,11,Otoño,203.0,True,LEMOA,BIZKAIA,48.0,3611.0,1824.0,1787.0,False,True
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,33.0,road running,Absoluta/General,23.0,175.0,Orduña,,Bizkaia,2025,11,Otoño,198.0,True,ORDUNA,BIZKAIA,48.0,4243.0,2187.0,2056.0,False,True
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,,road running,Absoluta/General,0.0,0.0,Orduña,,Bizkaia,2025,11,Otoño,0.0,True,ORDUNA,BIZKAIA,48.0,4243.0,2187.0,2056.0,False,False
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,14.0,road running,Absoluta/General,50.0,111.0,Orduña,,Bizkaia,2025,11,Otoño,161.0,True,ORDUNA,BIZKAIA,48.0,4243.0,2187.0,2056.0,False,True
buscametas,BBK Mendi Martxak - Arrigorriaga-Basauri,2025-11-09,Domingo,16.0,marcha,Absoluta/General,117.0,138.0,Arrigorriaga-Basauri,,Bizkaia,2025,11,Otoño,255.0,True,ARRIGORRIAGA-BASAURI,BIZKAIA,48.0,,,,False,True
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,10.0,road running,Absoluta/General,193.0,410.0,Vitoria,Gasteizko kuadrilla,Álava,2025,11,Otoño,603.0,True,VITORIA,ALAVA,1.0,,,,False,True
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,5.0,road running,Absoluta/General,137.0,155.0,Vitoria,Gasteizko kuadrilla,Álava,2025,11,Otoño,292.0,True,VITORIA,ALAVA,1.0,,,,False,True
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,25.0,trail running,Absoluta/General,39.0,252.0,Balmaseda,,Bizkaia,2025,11,Otoño,291.0,True,BALMASEDA,BIZKAIA,48.0,7737.0,3728.0,4009.0,False,True
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,12.0,trail running,Absoluta/General,47.0,122.0,Balmaseda,,Bizkaia,2025,11,Otoño,169.0,True,BALMASEDA,BIZKAIA,48.0,7737.0,3728.0,4009.0,False,True
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,,marcha,Absoluta/General,112.0,174.0,Balmaseda,,Bizkaia,2025,11,Otoño,286.0,True,BALMASEDA,BIZKAIA,48.0,7737.0,3728.0,4009.0,False,False
buscametas,Record Kolitza Internacional,2025-11-01,Sábado,,Otros,Absoluta/General,1.0,1.0,Balmaseda,,Bizkaia,2025,11,Otoño,2.0,True,BALMASEDA,BIZKAIA,48.0,7737.0,3728.0,4009.0,False,False
buscametas,Record del Kolitza,2025-11-01,Sábado,,Otros,Absoluta/General,4.0,40.0,Balmaseda,,Bizkaia,2025,11,Otoño,44.0,True,BALMASEDA,BIZKAIA,48.0,7737.0,3728.0,4009.0,False,False
