event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,inscrits,DNF_total,DSQ_total,DNS_total,esport,classificat_sexe_desconegut
199,V DUATLON CROS CAPA,2018-04-08,ALCALA DE GUADAIRA,GENERAL,general,ok,,127,115,12,127,,,,,Duatlón cros,0
199,V DUATLON CROS CAPA,2018-04-08,ALCALA DE GUADAIRA,LOCAL,local,ok,,23,21,2,23,,,,,Duatlón cros,0
196,II CARRERA PILAR MARIANISTAS JEREZ,2018-01-14,JEREZ DE LA FRONTERA,5K,5k,ok,,139,0,0,139,,,,,Carrera,139
196,II CARRERA PILAR MARIANISTAS JEREZ,2018-01-14,JEREZ DE LA FRONTERA,10K,10k,ok,,208,0,0,208,,,,,Carrera,208
186,VII CARRERA POPULAR TORREPEROGIL 2017,2017-12-30,TORREPEROGIL,PREBENJAMIN BENJAMIN ALEVIN,prebenjaminbenjaminalevin,ok,,85,0,0,85,,,,,Carrera,85
186,VII CARRERA POPULAR TORREPEROGIL 2017,2017-12-30,TORREPEROGIL,CADETE INFANTIL,cadeteinfantil,ok,,25,0,0,25,,,,,Carrera,25
186,VII CARRERA POPULAR TORREPEROGIL 2017,2017-12-30,TORREPEROGIL,ABSOLUTA,absoluta,ok,,336,0,0,336,,,,,Carrera,336
,VI DUATLON CROSS LA RODA DE ANDALUCIA,2017-12-10,LA RODA DE ANDALUCIA,,,sense_resultats,,,,,,,,,,Duatlón cros,
144,II TRAIL LA CRESTA DEL DIABLO,2017-10-29,TORREDELCAMPO,CADETE,cadete,ok,,10,0,0,10,,,,,Trail,10
144,II TRAIL LA CRESTA DEL DIABLO,2017-10-29,TORREDELCAMPO,CRESTA LOCAL,crestalocal,ok,,10,0,0,10,,,,,Trail,10
144,II TRAIL LA CRESTA DEL DIABLO,2017-10-29,TORREDELCAMPO,DIABLITO,diablito,ok,,205,0,0,205,,,,,Trail,205
144,II TRAIL LA CRESTA DEL DIABLO,2017-10-29,TORREDELCAMPO,CRESTA,cresta,ok,,173,0,0,173,,,,,Trail,173
185,XIII CARRERA POPULAR NOCTURNA “DÍA MUNDIAL DE ENFERMOS DE ALZHEIMER 2017”,2017-10-21,SAN FERNANDO,GENERAL,general,ok,,563,434,129,563,,,,,Carrera,0
185,XIII CARRERA POPULAR NOCTURNA “DÍA MUNDIAL DE ENFERMOS DE ALZHEIMER 2017”,2017-10-21,SAN FERNANDO,CIRCUITO,circuito,ok,,230,180,50,230,,,,,Carrera,0
150,II EURAFRICA TRAIL - ALCORNOCALES  30 - 50,2017-10-12,ALGECIRAS,ALCORNOCALES 30,alcornocales30,ok,,177,0,0,177,,,,,Trail,177
150,II EURAFRICA TRAIL - ALCORNOCALES  30 - 50,2017-10-12,ALGECIRAS,ALCORNOCALES 50,alcornocales50,ok,,85,0,0,85,,,,,Trail,85
182,"XX CARRERA POPULAR ""VIRGEN DEL PILAR""",2017-10-08,ALGECIRAS,GENERAL,general,ok,,184,0,0,184,,,,,Carrera,184
182,"XX CARRERA POPULAR ""VIRGEN DEL PILAR""",2017-10-08,ALGECIRAS,ESPECIAL,especial,ok,,22,0,0,22,,,,,Carrera,22
173,"XXIII MEDIA MARATON ""CIUDAD DE JAEN"" MEMORIAL ""PACO MANZANEDA"" Y  CARRERA POPULAR 10 KM. I MEMORIAL CLUB ZEUS 77/90",2017-10-08,JAEN,10K,10k,ok,,481,0,0,481,,,,,Carrera,481
173,"XXIII MEDIA MARATON ""CIUDAD DE JAEN"" MEMORIAL ""PACO MANZANEDA"" Y  CARRERA POPULAR 10 KM. I MEMORIAL CLUB ZEUS 77/90",2017-10-08,JAEN,MEDIA MARATON TODOS,mediamaratontodos,ok,,613,0,0,613,,,,,Carrera,613
173,"XXIII MEDIA MARATON ""CIUDAD DE JAEN"" MEMORIAL ""PACO MANZANEDA"" Y  CARRERA POPULAR 10 KM. I MEMORIAL CLUB ZEUS 77/90",2017-10-08,JAEN,MEDIA MARATON,mediamaraton,ok,,616,550,66,616,,,,,Carrera,0
173,"XXIII MEDIA MARATON ""CIUDAD DE JAEN"" MEMORIAL ""PACO MANZANEDA"" Y  CARRERA POPULAR 10 KM. I MEMORIAL CLUB ZEUS 77/90",2017-10-08,JAEN,MEDIA MARATON CON PUNTO INTERMEDIO,mediamaratonconpuntointermedio,ok,,628,0,0,628,,,,,Carrera,628
159,II MARATON TRAIL SIERRA CAZORLA,2017-10-08,QUESADA,CORTA,corta,ok,,105,0,0,105,,,,,Carrera por montaña,105
159,II MARATON TRAIL SIERRA CAZORLA,2017-10-08,QUESADA,LARGA,larga,ok,,88,0,0,88,,,,,Carrera por montaña,88
176,II CARRERA POPULAR AGRUPACIÓN DE MOGÓN,2017-10-01,Agrupación de Mogón (Villacarrillo),TODOS,todos,ok,,125,0,0,125,,,,,Carrera,125
176,II CARRERA POPULAR AGRUPACIÓN DE MOGÓN,2017-10-01,Agrupación de Mogón (Villacarrillo),GENERAL,general,ok,,125,105,20,125,,,,,Carrera,0
