fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad,comunidad_autonoma
mychip,"II Segura Trail,  Elche de la Sierra. Circuito Desafios Trail Sierra del Segura",2016-03-06,Domingo,0.0,road running,Absoluta/General,0,0,Albacete,,Castilla-La Mancha,0,551,default,Castilla-La Mancha
mychip,"Marxa per a tota la Familia, Carrera de la Dona, Puçol",2016-03-06,Domingo,0.0,road running,Absoluta/General,0,0,Puzol,Huerta Norte,Valencia,0,559,default,Comunidad Valenciana
mychip,"II CORRE CROSS DE LA DONA, Picanya",2016-03-04,Viernes,0.0,road running,Absoluta/General,0,0,Picaña,Huerta Sur,Valencia,0,549,default,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,25.4,Otros,Cadete/Juvenil,0,11,Onteniente,La Vall d'Albaida,Valencia,0,528,CADETE_MASC,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,46.7,Otros,Absoluta/General,1,399,Onteniente,La Vall d'Albaida,Valencia,0,528,ABSOLUTA_MASCULINA,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,25.4,Otros,Cadete/Juvenil,0,20,Onteniente,La Vall d'Albaida,Valencia,0,528,JUNIOR_MASC,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,46.7,Otros,Absoluta/General,98,0,Onteniente,La Vall d'Albaida,Valencia,0,528,ABSOLUTA_FEMENINA,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,25.4,Otros,Cadete/Juvenil,2,0,Onteniente,La Vall d'Albaida,Valencia,0,528,JUNIOR_FEM,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,25.4,Otros,Cadete/Juvenil,2,0,Onteniente,La Vall d'Albaida,Valencia,0,528,CADETE_FEM,Comunidad Valenciana
mychip,"Clariano Trail, Ontinyent, Prueba Campeonato de Liga FEMECV 2016",2016-02-28,Domingo,0.0,Otros,Absoluta/General,15,15,Onteniente,La Vall d'Albaida,Valencia,0,528,Modalidad por defecto,Comunidad Valenciana
mychip,"XXXIII Medio Maraton de Torrevieja, 10k",2016-02-28,Domingo,21.0,Otros,Absoluta/General,61,446,Torrevieja,,Alicante,0,542,001_21K,Comunidad Valenciana
mychip,"XXXIII Medio Maraton de Torrevieja, 10k",2016-02-28,Domingo,10.0,Otros,Absoluta/General,107,279,Torrevieja,,Alicante,0,542,002_10K,Comunidad Valenciana
mychip,"II Carrera Polígono Industrial Juan Carlos I. Quédate sin aliento por la Hipertensión Pulmonar, Causa María Moreno",2016-02-21,Domingo,10.0,Otros,Absoluta/General,167,631,Almussafes,La Ribera Baja,Valencia,0,512,Modalidad 10000,Comunidad Valenciana
mychip,"52 Marcha Veteranos Comunidad Valenciana, Serra.  FEMECV 2016",2016-02-21,Domingo,16.5,Otros,Absoluta/General,32,68,Serra,El Campo de Turia,Valencia,0,527,Modalidad 16500,Comunidad Valenciana
mychip,XCMARATON VALL D’ALBA – 72 y 47 km,2016-02-21,Domingo,72.0,Otros,Absoluta/General,4,166,Vall d'Alba,Plana Alta,Castellón,0,548,001_XC CHALLENGE MARATH,Comunidad Valenciana
mychip,XCMARATON VALL D’ALBA – 72 y 47 km,2016-02-21,Domingo,47.0,Otros,Absoluta/General,5,74,Vall d'Alba,Plana Alta,Castellón,0,548,003_MARCHA,Comunidad Valenciana
mychip,XCMARATON VALL D’ALBA – 72 y 47 km,2016-02-21,Domingo,72.0,Otros,Equipos,0,40,Vall d'Alba,Plana Alta,Castellón,0,548,002_XCM EQUIPOS,Comunidad Valenciana
mychip,III Mitja Marató per Munytanya i Marxa Senderista L'Aventaor de Genoves,2016-02-14,Domingo,21.0,Otros,Absoluta/General,37,318,Liria,El Campo de Turia,Valencia,0,503,CARRERA,Comunidad Valenciana
mychip,III Mitja Marató per Munytanya i Marxa Senderista L'Aventaor de Genoves,2016-02-14,Domingo,17.0,Otros,Absoluta/General,71,97,Liria,El Campo de Turia,Valencia,0,503,MARXA,Comunidad Valenciana
mychip,"Cursa per Muntanya Samaruc, Fondeguilla, Campeonato de Liga FEMECV 2016",2016-02-14,Domingo,25.4,Otros,Cadete/Juvenil,0,11,Alfondeguilla,Plana Baja,Castellón,0,524,CADETE_MASC,Comunidad Valenciana
mychip,"Cursa per Muntanya Samaruc, Fondeguilla, Campeonato de Liga FEMECV 2016",2016-02-14,Domingo,46.7,Otros,Absoluta/General,98,0,Alfondeguilla,Plana Baja,Castellón,0,524,ABSOLUTA_FEMENINA,Comunidad Valenciana
mychip,"Cursa per Muntanya Samaruc, Fondeguilla, Campeonato de Liga FEMECV 2016",2016-02-14,Domingo,25.4,Otros,Cadete/Juvenil,0,20,Alfondeguilla,Plana Baja,Castellón,0,524,JUNIOR_MASC,Comunidad Valenciana
